Motivo Teletrabajo,Provincia Contrato (grupo),Finalizado,Provincia Contrato,Contratos,Anio Fecha Inicio Teletrabajo,Canton Contrato,Estado Teletrabajo,Fecha Consulta,Genero,Mes Fecha Inicio Teletrabajo,Modo Ejecucion,Ruc Empresa
Emergente,GUAYAS,Vigente,GUAYAS,3,2020,GUAYAQUIL,Activo,14/11/2022,Masculino,4,Teletrabajo,9.90781E+11
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2021,QUITO,Activo,14/11/2022,Femenino,2,Teletrabajo,1.79011E+12
Habitual,PICHINCHA,Finalizado,PICHINCHA,4,2021,QUITO,Activo,14/11/2022,Masculino,8,Teletrabajo,1.79307E+12
Emergente,COTOPAXI,Vigente,COTOPAXI,1,2020,LATACUNGA,Activo,14/11/2022,Femenino,3,Teletrabajo,1.79037E+12
Habitual,PICHINCHA,Finalizado,PICHINCHA,1,2019,QUITO,Activo,14/11/2022,Femenino,6,Teletrabajo,1.70736E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,1,2021,RUMIÐAHUI,Activo,14/11/2022,Masculino,4,Teletrabajo,1.76E+12
Habitual,PICHINCHA,Vigente,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Masculino,5,Teletrabajo,1.79207E+12
Emergente,GUAYAS,Vigente,GUAYAS,1,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,7,Teletrabajo,9.9229E+11
Emergente,PICHINCHA,Finalizado,PICHINCHA,2,2020,QUITO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.79199E+12
Emergente,EL ORO,Vigente,EL ORO,1,2020,MACHALA,Activo,14/11/2022,Femenino,3,Teletrabajo,7.9174E+11
Emergente,GUAYAS,Vigente,GUAYAS,1,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,12,Teletrabajo,1.79111E+12
Habitual,MANABI,Finalizado,MANABI,2,,MANTA,Activo,14/11/2022,Masculino,,Teletrabajo,9.91268E+11
Emergente,COTOPAXI,Finalizado,COTOPAXI,7,2020,LATACUNGA,Activo,14/11/2022,Masculino,5,Teletrabajo,1.89E+12
Emergente,MANABI,Vigente,MANABI,1,2021,MANTA,Activo,14/11/2022,Femenino,7,Teletrabajo,1.79143E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,3,2020,QUITO,Activo,14/11/2022,Masculino,3,Teletrabajo,9.91011E+11
Habitual,PICHINCHA,Vigente,PICHINCHA,1,2021,QUITO,Activo,14/11/2022,Femenino,12,Teletrabajo,1.00227E+12
Emergente,PICHINCHA,Vigente,PICHINCHA,2,2020,QUITO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.79187E+12
Habitual,SANTO DOMINGO DE LOS TS?CHILAS,Vigente,SANTO DOMINGO DE LOS TS?CHILAS,1,,SANTO DOMINGO DE LOS TS?CHILAS,Activo,14/11/2022,Masculino,,Teletrabajo,1.79003E+12
